Ingredient,UM,Preț FĂRĂ TVA,TVA %,Preț CU TVA,Actualizat,Furnizor
Sos soia,kg,14.41 RON,11%,16.00 RON,2026-02-11,Lidl
Toba,kg,27.03 RON,11%,30.00 RON,2026-02-11,Selgros
Sunculita taraneasca,kg,36.04 RON,11%,40.00 RON,2026-02-11,Selgros
Chisca,kg,22.52 RON,11%,25.00 RON,2026-02-11,Selgros
Muschi pe jar,kg,49.55 RON,11%,55.00 RON,2026-02-11,Lidl
Drob taranesc,kg,31.53 RON,11%,35.00 RON,2026-02-11,Selgros
Lebarvurst,kg,25.23 RON,11%,28.00 RON,2026-02-11,Selgros
Slaninuta moldoveneasca,kg,36.04 RON,11%,40.00 RON,2026-02-11,Selgros
Esenta rom,kg,12.40 RON,21%,15.00 RON,2026-02-11,Lidl
Rosii taiate cuburi,kg,7.21 RON,11%,8.00 RON,2026-02-11,Kaufland
Fulgi de porumb,kg,8.11 RON,11%,9.00 RON,2026-02-11,Lidl
Ceapa verde,kg,10.81 RON,11%,12.00 RON,2026-02-11,Kaufland
Pastrav,kg,27.03 RON,11%,30.00 RON,2026-02-11,Selgros
Scarita de porc afumata,kg,31.53 RON,11%,35.00 RON,2026-02-11,Selgros
Peste file cod,kg,49.55 RON,11%,55.00 RON,2026-02-11,Selgros
Piper negru,kg,108.11 RON,11%,120.00 RON,2026-02-11,Lidl
Crutoane,kg,18.02 RON,11%,20.00 RON,2026-02-11,Lidl
Lamai,kg,9.01 RON,11%,10.00 RON,2026-02-11,Kaufland
Salata Iceberg (Romaine),kg,10.81 RON,11%,12.00 RON,2026-02-11,Lidl
Lamaie/zeama lamaie,kg,9.01 RON,11%,10.00 RON,2026-02-11,Kaufland
Slanina,kg,31.53 RON,11%,35.00 RON,2026-02-11,Selgros
Foi de dafin,kg,81.08 RON,11%,90.00 RON,2026-02-11,Lidl
Maruntaie pui,kg,10.81 RON,11%,12.00 RON,2026-02-11,Selgros
Vin alb,kg,16.53 RON,21%,20.00 RON,2026-02-11,Lidl
Pulpa de vita,kg,40.54 RON,11%,45.00 RON,2026-02-11,Selgros
Pasta de ardei iute,kg,16.22 RON,11%,18.00 RON,2026-02-11,Kaufland
Muschi de porc,kg,27.03 RON,11%,30.00 RON,2026-02-11,Selgros
Cascaval,kg,40.54 RON,11%,45.00 RON,2026-02-11,Lidl
Carnat afumat,kg,27.03 RON,11%,30.00 RON,2026-02-11,Selgros
Ficat de pui,kg,16.22 RON,11%,18.00 RON,2026-02-11,Selgros
Masline,kg,16.22 RON,11%,18.00 RON,2026-02-11,Lidl
Feta,kg,28.83 RON,11%,32.00 RON,2026-02-11,Lidl
Hrean,kg,18.02 RON,11%,20.00 RON,2026-02-11,Lidl
Conopida in otet,kg,10.81 RON,11%,12.00 RON,2026-02-11,Kaufland
Gogosari in otet,kg,13.51 RON,11%,15.00 RON,2026-02-11,Lidl
Castraveti murati,kg,9.01 RON,11%,10.00 RON,2026-02-11,Kaufland
Rosii,kg,7.21 RON,11%,8.00 RON,2026-02-11,Kaufland
Otet,kg,5.41 RON,11%,6.00 RON,2026-02-11,Lidl
Varza alba,kg,3.15 RON,11%,3.50 RON,2026-02-11,Kaufland
Mustar,kg,10.81 RON,11%,12.00 RON,2026-02-11,Lidl
Mici,kg,24.32 RON,11%,27.00 RON,2026-02-11,Selgros
Pulpa pui dezosata,kg,18.02 RON,11%,20.00 RON,2026-02-11,Selgros
